state,x,y
Alabama,139,-95
Alaska,-204,-170
Arizona,-203,-40
Arkansas,62,-53
California,-297,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,182,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,95,37
Indiana,133,39
Iowa,38,65
Kansas,-17,-10
Kentucky,149,-11
Louisiana,59,-114
Maine,324,164
Maryland,288,27
Massachusetts,312,108
Michigan,148,101
Minnesota,26,135
Mississippi,94,-78
Missouri,54,6
Montana,-141,150
Nebraska,-55,66
Nevada,-253,56
New Hampshire,302,127
New Jersey,282,60
New Mexico,-125,-43
New York,236,104
North Carolina,239,-30
North Dakota,-40,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,72
Rhode Island,318,84
South Carolina,225,-58
South Dakota,-40,109
Tennessee,131,-40
Texas,-38,-106
Utah,-189,34
Vermont,282,150
Virginia,240,7
Washington,-257,193
West Virginia,200,20
Wisconsin,83,113
Wyoming,-134,90